Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),PERIMETER_ZN_1:People Occupant Count [](TimeStep),EMS:PerimeterZN1_Q_Sen [W](TimeStep),EMS:PerimeterZN1_Q_Lat [W](TimeStep),PERIMETER_ZN_1_WALL_WEST:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_1:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_2:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_3:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_4:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_5:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_6:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_EAST:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_NORTH:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_FLOOR:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_CEILING:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Radiant Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Air Dewpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Humidity Ratio [](TimeStep),PERIMETER_ZN_1:Zone Air Relative Humidity [%](TimeStep),PERIMETER_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FMU_PERIMETER_ZN_1_PH:Schedule Value [](TimeStep),FMU_PERIMETER_ZN_1_PF:Schedule Value [](TimeStep),PERIMETER_ZN_1 NODE1:System Node Temperature [C](TimeStep),PERIMETER_ZN_1 NODE1:System Node Mass Flow Rate [kg/s](TimeStep),PERIMETER_ZN_1 NODE1:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep) 
 07/06  00:01:00,26.671666666666668,21.689999999999999,0.0169340141633675,74.08333333333333,0.0,0.0,0.0,28.94775078774425,29.91058502633898,27.062200602475515,27.0623570522539,27.0623570522543,27.062357052254016,27.06235705225322,27.06220061060492,28.913581210570766,28.9201093224507,30.011422193183678,29.881220255831999,29.789672890841208,27.86257366519782,30.382195706806394,0.02481243044195888,86.45051703840568,54.9,55.0,20.0,26.0,0.0,0.0,30.38419779459207,0.0,0.024826164623698779 
 07/06  00:02:00,26.64333333333333,21.68,0.01692366960964791,74.16666666666667,0.0,0.0,0.0,28.94544914124644,29.906731732610287,27.061183034567649,27.061337502144455,27.06133750214599,27.061337502146104,27.061337502146445,27.061183042594167,28.911384405246677,28.918103350526253,30.010211648671448,29.878183394517334,29.787220673865517,27.854324548648344,30.38017952414649,0.02479869817546723,86.41889562887005,54.9,55.0,20.0,26.0,0.0,0.0,30.382195706806394,0.0,0.02481243044195888 
 07/06  00:03:00,26.615,21.669999999999999,0.01691330441222911,74.25,0.0,0.0,0.0,28.943156825984194,29.90289285843458,27.0603354908896,27.060487865400888,27.060487865401684,27.060487865400888,27.060487865400206,27.060335498807946,28.90919613128521,28.91610659972347,30.0090015089747,29.875161115245015,29.784779571033103,27.846074297849947,30.378149914403648,0.024784971062801487,86.38734727405036,54.9,55.0,20.0,26.0,0.0,0.0,30.38017952414649,0.0,0.02479869817546723 
 07/06  00:04:00,26.586666666666667,21.66,0.016902916715395526,74.33333333333333,0.0,0.0,0.0,28.940884141645016,29.89906791660941,27.059389932560863,27.059540275776727,27.059540275776955,27.05954027577684,27.059540275776727,27.059389940372854,28.907025441761264,28.914128102716256,30.007791518110918,29.872152245879794,29.782343152512614,27.837822299138997,30.37610723542747,0.02477124943222843,86.3558588637211,54.9,55.0,20.0,26.0,0.0,0.0,30.378149914403648,0.0,0.024784971062801487 
 07/06  00:05:00,26.55833333333333,21.65,0.016892507591073633,74.41666666666666,0.0,0.0,0.0,28.93866621157801,29.895257351235764,27.058409264678859,27.058557593735828,27.05855759373469,27.05855759373344,27.058557593735885,27.058409272387509,28.904903719610464,28.91220009392533,30.00658204795633,29.86915707851157,29.779919118839968,27.82956862014234,30.37405181670268,0.024757532879012453,86.32444312648589,54.9,55.0,20.0,26.0,0.0,0.0,30.37610723542747,0.0,0.02477124943222843 
 07/06  00:06:00,26.53,21.64,0.016882078109354497,74.50000000000002,0.0,0.0,0.0,28.936558857498807,29.891462289570169,27.057388614144317,27.05753495193744,27.05753495193784,27.057534951937784,27.05753495193801,27.05738862174843,28.90288225253942,28.910375439046818,30.005373154336167,29.86617660948009,29.777516909262535,27.821313831500917,30.371984132105266,0.024743821062450597,86.29308471889472,54.9,55.0,20.0,26.0,0.0,0.0,30.37405181670268,0.0,0.024757532879012453 
 07/06  00:07:00,26.501666666666666,21.63,0.01687162641633641,74.58333333333333,0.0,0.0,0.0,28.93461559995762,29.887687536515214,27.05633721751815,27.05648158257111,27.056481582570429,27.05648158257054,27.056481582570883,27.05633722502114,28.90101390252815,28.90870819443261,30.004167327170419,29.863215442977017,29.77515142568442,27.81305687689628,30.369904895839896,0.0247301138142165,86.26178302279259,54.9,55.0,20.0,26.0,0.0,0.0,30.371984132105266,0.0,0.024743821062450597 
 07/06  00:08:00,26.473333333333334,21.62,0.016861153582103159,74.66666666666667,0.0,0.0,0.0,28.932853656494168,29.883930605882136,27.055263578944165,27.055405988190956,27.05540598819107,27.055405988192207,27.0554059881905,27.055263586343587,28.899319882275525,28.907218079047195,30.002962428845899,29.86027144078582,29.7728286701658,27.804799061495694,30.367815027077154,0.024716411065105225,86.23053304451139,54.9,55.0,20.0,26.0,0.0,0.0,30.369904895839896,0.0,0.0247301138142165 
 07/06  00:09:00,26.445,21.61,0.016850660674887234,74.75,0.0,0.0,0.0,28.931266410845227,29.880192717749183,27.0541723781148,27.054312846825554,27.05431284682578,27.054312846825384,27.05431284682527,27.05417238541179,28.897798060813526,28.905901848088,30.001759236110418,29.85734580859898,29.77054177100131,27.79653851087732,30.365715500828608,0.024702712778682215,86.19933461293563,54.9,55.0,20.0,26.0,0.0,0.0,30.367815027077154,0.0,0.024716411065105225 
 07/06  00:10:00,26.416666666666666,21.599999999999999,0.016840145842629087,74.83333333333334,0.0,0.0,0.0,28.929831722732837,29.876473924947925,27.05306048906914,27.053199031258886,27.053199031259056,27.05319903125894,27.053199031258886,27.053060496268928,28.89642908880458,28.904738867962135,30.00055804281798,29.854438633328326,29.76828727270311,27.788276864022124,30.36360723636998,0.02468901891956668,86.1681781514856,54.9,55.0,20.0,26.0,0.0,0.0,30.365715500828608,0.0,0.024702712778682215 
