Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Humidity Ratio [kgWater/kgDryAir](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),PERIMETER_ZN_1:People Occupant Count [](TimeStep),EMS:PerimeterZN1_Q_Sen [W](TimeStep),EMS:PerimeterZN1_Q_Lat [W](TimeStep),PERIMETER_ZN_1_WALL_WEST:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_1:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_2:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_3:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_4:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_5:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_SOUTH_WINDOW_6:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_EAST:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_WALL_NORTH:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_FLOOR:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1_CEILING:Surface Inside Face Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Radiant Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Mean Air Dewpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Humidity Ratio [](TimeStep),PERIMETER_ZN_1:Zone Air Relative Humidity [%](TimeStep),PERIMETER_ZN_1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FMU_PERIMETER_ZN_1_PH:Schedule Value [](TimeStep),FMU_PERIMETER_ZN_1_PF:Schedule Value [](TimeStep),PERIMETER_ZN_1 NODE1:System Node Temperature [C](TimeStep),PERIMETER_ZN_1 NODE1:System Node Mass Flow Rate [kg/s](TimeStep),PERIMETER_ZN_1 NODE1:System Node Humidity Ratio [kgWater/kgDryAir](TimeStep) 
 07/06  00:01:00,26.671666666666668,21.689999999999999,0.0169340141633675,74.08333333333333,0.0,0.0,0.0,28.916727779457419,29.868874566435957,27.039244007642027,27.039400838778989,27.039400838778819,27.03940083877933,27.039400838778307,27.039244015792066,28.882502166257628,28.888692848020307,29.959859155383297,29.837920973982557,29.74643949781311,27.454897341094207,30.339367287653759,0.024205689395146624,84.62295751683884,54.9,55.0,0.0,0.0,0.0,0.0,30.341332770526106,0.0,0.024218351582054964 
 07/06  00:02:00,26.64333333333333,21.68,0.01692366960964791,74.16666666666667,0.0,0.0,0.0,28.914444979733039,29.865046381436917,27.038289970598954,27.038444798936497,27.038444798935076,27.038444798935985,27.038444798936327,27.038289978644344,28.880324407199955,28.886706139204845,29.9586652604643,29.834911888767996,29.744012105761219,27.447165310548824,30.337387545868326,0.024193027850918475,84.59426346382313,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.339367287653759,0.0,0.024205689395146624 
 07/06  00:03:00,26.615,21.669999999999999,0.01691330441222911,74.25,0.0,0.0,0.0,28.912060663361165,29.861230672122806,27.037510248125729,27.037662958582588,27.037662958583839,27.037662958583384,27.03766295858287,27.037510256060786,28.87804496300414,28.88461662709583,29.95747108138302,29.831915358717468,29.741575974293608,27.439430409854496,30.335394023990618,0.02418036958541602,84.56563162073914,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.337387545868326,0.0,0.024193027850918475 
 07/06  00:04:00,26.586666666666667,21.66,0.016902916715395526,74.33333333333333,0.0,0.0,0.0,28.908606753320055,29.857405309122684,27.03661822674792,27.036768886429628,27.036768886428037,27.03676888642906,27.036768886428548,27.036618234577078,28.874700372358896,28.88144600104511,29.956267408062094,29.8289078507793,29.73894452529925,27.43169277751109,30.333385090079984,0.024167714859363037,84.53707665500932,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.335394023990618,0.0,0.02418036958541602 
 07/06  00:05:00,26.55833333333333,21.65,0.016892507591073633,74.41666666666666,0.0,0.0,0.0,28.9027222492385,29.853531359970778,27.03560117037148,27.0357497996888,27.035749799690167,27.03574979968812,27.035749799689087,27.035601178094227,28.868936308584563,28.875823546107787,29.95504104429156,29.825849064511546,29.735864486051459,27.423953887804328,30.331355086506087,0.02415506333645675,84.50862043645616,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.333385090079984,0.0,0.024167714859363037 
 07/06  00:06:00,26.53,21.64,0.016882078109354497,74.50000000000002,0.0,0.0,0.0,28.894622934457009,29.849597370647524,27.034354243797567,27.034500869970885,27.03450086997009,27.0345008699706,27.034500869970317,27.03435425141771,28.860965300496348,28.867974717945847,29.953789018917346,29.822727023222517,29.73236694282699,27.41621352716509,30.329295758599579,0.024142414733827393,84.48029882521489,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.331355086506087,0.0,0.02415506333645675 
 07/06  00:07:00,26.501666666666666,21.63,0.01687162641633641,74.58333333333333,0.0,0.0,0.0,28.885847133359598,29.845630549261924,27.03291784155374,27.033062485302254,27.03306248530191,27.03306248530248,27.03306248530191,27.03291784906895,28.852314655337286,28.85945731879141,29.952532423918944,29.819569361350486,29.728740102321408,27.408469594665755,30.327200689651183,0.024129768909654467,84.4521481092455,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.329295758599579,0.0,0.024142414733827393 
 07/06  00:08:00,26.473333333333334,21.62,0.016861153582103159,74.66666666666667,0.0,0.0,0.0,28.87786312761345,29.84165593325181,27.031415187657048,27.031557866443678,27.031557866442996,27.0315578664447,27.031557866444019,27.031415195070623,28.84444558655801,28.851751776296028,29.951279719017973,29.81640273642204,29.72523768818896,27.400724088405778,30.325068395234206,0.024117125803276037,84.42417252945026,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.327200689651183,0.0,0.024129768909654467 
 07/06  00:09:00,26.445,21.61,0.016850660674887234,74.75,0.0,0.0,0.0,28.87146651482488,29.83770504513495,27.029932134013224,27.030072863175975,27.030072863175464,27.030072863175293,27.030072863175918,27.029932141326186,28.838149469003985,28.84565473683799,29.950040997252349,29.8132595679165,29.722022346053309,27.392975494108705,30.322902428250126,0.024104485381003895,84.39635336702043,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.325068395234206,0.0,0.024117125803276037 
 07/06  00:10:00,26.416666666666666,21.599999999999999,0.016840145842629087,74.83333333333334,0.0,0.0,0.0,28.866849066480378,29.833795288862459,27.02852726271044,27.02866605591828,27.02866605591862,27.02866605591862,27.028666055918508,27.02852726992279,28.833612981060559,28.841351919313966,29.948797700689494,29.810157829569837,29.719130147638709,27.38522436092243,30.32070943900978,0.024091847609653644,84.36865810572748,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.322902428250126,0.0,0.024104485381003895 
 07/06  00:11:00,26.388333333333333,21.589999999999998,0.016829611125952348,74.91666666666666,0.0,0.0,0.0,28.863877178996427,29.82993559086335,27.02720725619872,27.02734412623954,27.027344126239315,27.027344126239315,27.02734412623886,27.02720726330972,28.830697860214735,28.838703682464439,29.947569494753617,29.80710670559939,29.71654472996363,27.377471053996194,30.318497008596425,0.02407921245327524,84.34105426088975,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.32070943900978,0.0,0.024091847609653644 
 07/06  00:12:00,26.36,21.58,0.016819054674041428,75.0,0.0,0.0,0.0,28.862297922768219,29.826128670514206,27.025966088852728,27.026101047583667,27.026101047583155,27.026101047583667,27.026101047583553,27.025966095866239,28.829148657277309,28.83745396917416,29.94635422475583,29.804109007436407,29.71422236809108,27.369715020066285,30.316272217157829,0.02406657987215958,84.31350477067238,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.318497008596425,0.0,0.02407921245327524 
 07/06  00:13:00,26.331666666666668,21.57,0.016808477553885656,75.08333333333334,0.0,0.0,0.0,28.86184582281148,29.82237391166917,27.024788330221328,27.024921388763234,27.02492138876346,27.024921388763234,27.024921388763234,27.02478833713576,28.82869937887861,28.83733671713723,29.945149596265574,29.801164141652497,29.71211604251095,27.361957044559149,30.314041028161865,0.024053949825632118,84.28598182263772,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.316272217157829,0.0,0.02406657987215958 
 07/06  00:14:00,26.30333333333333,21.559999999999996,0.016797880830596504,75.16666666666666,0.0,0.0,0.0,28.86228481724554,29.818669469128279,27.023658786987995,27.02378995574952,27.02378995575009,27.023789955749579,27.02378995574827,27.023658793803976,28.82911477726567,28.838116381927468,29.943955743396378,29.798270282754854,29.71018598774299,27.354195676595834,30.311808214576727,0.02404132227403596,84.2584576419538,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.314041028161865,0.0,0.024053949825632118 
 07/06  00:15:00,26.275,21.549999999999998,0.016787262655246647,75.25,0.0,0.0,0.0,28.863416974200754,29.815012149352403,27.022565553334176,27.022694842063744,27.02269484206238,27.022694842063744,27.022694842063915,27.02256556005227,28.830198528507379,28.83959593444017,29.942768718164215,29.795424251208698,29.70839399034294,27.34643258860623,30.309577488251866,0.02402869717670902,84.23091828629505,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.311808214576727,0.0,0.02404132227403596 
 07/06  00:16:00,26.24666666666667,21.54,0.016776624092955797,75.33333333333334,0.0,0.0,0.0,28.865080700540408,29.81139880635417,27.02149574954376,27.0216231674126,27.0216231674126,27.021623167412544,27.02162316741169,27.021495756163973,28.831791046558349,28.841614449642905,29.94158708165308,29.792622936961064,29.706710603951846,27.338665627148278,30.3073516868561,0.02401607449315791,84.20334983091979,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.309577488251866,0.0,0.02402869717670902 
 07/06  00:17:00,26.21833333333333,21.53,0.016765966206948144,75.41666666666666,0.0,0.0,0.0,28.86716917374474,29.807855028092825,27.020440748197417,27.02056630381196,27.020566303812019,27.02056630381344,27.020566303812303,27.02044075472088,28.833787671906728,28.844059325338184,29.940421811272388,29.78989204520767,29.705134681881089,27.33089717977947,30.305133101009614,0.02400345418418251,84.17573837250942,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.3073516868561,0.0,0.02401607449315791 
 07/06  00:18:00,26.189999999999999,21.519999999999997,0.016755287150213545,75.5,0.0,0.0,0.0,28.869537758518445,29.80432980794936,27.019403393546385,27.0195270949161,27.019527094916783,27.01952709491502,27.019527094915476,27.019403399974807,28.836045881905695,28.846796215963637,29.93926183053904,29.787180491847847,29.703608666436407,27.323124857722307,30.302923359606568,0.023990836209595094,84.14807921412688,54.9,55.0,23.14723686393179,28.14723686393179,0.0,0.0,30.305133101009614,0.0,0.02400345418418251 
