Time,CORE_ZN:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:ATLANTA-HARTSFIELD.JACKSON.INTL.AP_GA_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:01:00,1.133019E+03,3.389146E+03,5.555587E-02,2.602412E-01,4.247404E+03,1.896428E+03,2.192256E-01,1.336750E-01,2.522169E+03,1.538021E+03,1.236678E-01,1.181012E-01,4.096139E+03,2.417339E+03,2.008436E-01,1.856218E-01,2.570868E+03,1.637824E+03,1.260556E-01,1.257649E-01
00:02:00,1.132086E+03,3.388195E+03,5.551013E-02,2.601683E-01,4.247149E+03,1.894715E+03,2.192125E-01,1.335543E-01,2.522024E+03,1.536830E+03,1.236607E-01,1.180098E-01,4.095849E+03,2.415598E+03,2.008294E-01,1.854882E-01,2.570725E+03,1.636326E+03,1.260486E-01,1.256499E-01
00:03:00,1.131154E+03,3.387247E+03,5.546441E-02,2.600954E-01,4.246894E+03,1.893015E+03,2.191993E-01,1.334344E-01,2.521880E+03,1.535646E+03,1.236536E-01,1.179189E-01,4.095560E+03,2.413869E+03,2.008152E-01,1.853554E-01,2.570582E+03,1.634837E+03,1.260416E-01,1.255355E-01
00:04:00,1.130222E+03,3.386301E+03,5.541873E-02,2.600228E-01,4.246640E+03,1.891328E+03,2.191862E-01,1.333155E-01,2.521736E+03,1.534470E+03,1.236465E-01,1.178285E-01,4.095271E+03,2.412152E+03,2.008010E-01,1.852236E-01,2.570439E+03,1.633355E+03,1.260345E-01,1.254217E-01
00:05:00,1.129291E+03,3.385356E+03,5.537308E-02,2.599503E-01,4.246385E+03,1.889654E+03,2.191731E-01,1.331975E-01,2.521592E+03,1.533301E+03,1.236395E-01,1.177388E-01,4.094982E+03,2.410446E+03,2.007869E-01,1.850926E-01,2.570296E+03,1.631876E+03,1.260275E-01,1.253082E-01
00:06:00,1.128361E+03,3.384414E+03,5.532746E-02,2.598779E-01,4.246131E+03,1.887993E+03,2.191599E-01,1.330804E-01,2.521448E+03,1.532140E+03,1.236324E-01,1.176497E-01,4.094693E+03,2.408753E+03,2.007727E-01,1.849625E-01,2.570153E+03,1.630406E+03,1.260205E-01,1.251953E-01
00:07:00,1.128367E+03,3.383721E+03,5.532777E-02,2.598247E-01,4.246133E+03,1.886500E+03,2.191600E-01,1.329752E-01,2.521449E+03,1.531033E+03,1.236325E-01,1.175647E-01,4.094695E+03,2.407167E+03,2.007728E-01,1.848408E-01,2.570154E+03,1.628993E+03,1.260206E-01,1.250868E-01
00:08:00,1.128374E+03,3.383030E+03,5.532808E-02,2.597717E-01,4.246135E+03,1.885010E+03,2.191601E-01,1.328702E-01,2.521450E+03,1.529928E+03,1.236325E-01,1.174798E-01,4.094698E+03,2.405584E+03,2.007729E-01,1.847192E-01,2.570155E+03,1.627582E+03,1.260206E-01,1.249784E-01
00:09:00,1.128380E+03,3.382341E+03,5.532838E-02,2.597188E-01,4.246137E+03,1.883523E+03,2.191602E-01,1.327654E-01,2.521451E+03,1.528824E+03,1.236326E-01,1.173950E-01,4.094700E+03,2.404003E+03,2.007730E-01,1.845978E-01,2.570156E+03,1.626175E+03,1.260207E-01,1.248704E-01
00:10:00,1.128386E+03,3.381654E+03,5.532869E-02,2.596660E-01,4.246138E+03,1.882039E+03,2.191603E-01,1.326607E-01,2.521452E+03,1.527722E+03,1.236326E-01,1.173104E-01,4.094702E+03,2.402425E+03,2.007731E-01,1.844767E-01,2.570157E+03,1.624770E+03,1.260207E-01,1.247625E-01
00:11:00,1.128392E+03,3.380968E+03,5.532899E-02,2.596133E-01,4.246140E+03,1.880557E+03,2.191604E-01,1.325563E-01,2.521453E+03,1.526622E+03,1.236327E-01,1.172260E-01,4.094704E+03,2.400850E+03,2.007733E-01,1.843557E-01,2.570158E+03,1.623369E+03,1.260208E-01,1.246549E-01
00:12:00,1.128398E+03,3.380284E+03,5.532930E-02,2.595608E-01,4.246142E+03,1.879079E+03,2.191605E-01,1.324521E-01,2.521454E+03,1.525524E+03,1.236327E-01,1.171416E-01,4.094706E+03,2.399277E+03,2.007734E-01,1.842349E-01,2.570159E+03,1.621971E+03,1.260208E-01,1.245476E-01
00:13:00,1.128405E+03,3.379602E+03,5.532960E-02,2.595084E-01,4.246144E+03,1.877603E+03,2.191606E-01,1.323481E-01,2.521456E+03,1.524428E+03,1.236328E-01,1.170574E-01,4.094708E+03,2.397707E+03,2.007735E-01,1.841144E-01,2.570160E+03,1.620576E+03,1.260209E-01,1.244405E-01
